"embNo","yeatsSD","yeatsClust","yeatsMeanPwr"
128,0.00000000000000000000000000000000216725732695371,1,0
224,0.00000000000000000000000000000000167033809052447,1,0
320,0.00000000185727138686584,1,0.0000000000000000711719933386041
158,0.0256127784557043,1,0.000338709331293126
109,0.0358209800658399,1,0.000356851523631493
277,0.0356694556097448,1,0.000360903619624015
66,0.0326478033579826,1,0.000460219403915991
321,0.0384069763045681,1,0.000479934574568732
154,0.0495902299542925,1,0.000546264563529263
339,0.0317967679781119,1,0.000559814494552639
46,0.0407436948346175,1,0.000585289723509299
210,0.0403577233816628,1,0.000609816905016966
84,0.0410676249464923,1,0.000611054176867003
130,0.0461284743333717,1,0.000619184204641679
231,0.0424386477914981,1,0.000620552097792843
260,0.0395759187597565,1,0.000624187042017032
169,0.043682253594196,1,0.000629064701535972
151,0.0356750838324374,1,0.000633191962991613
380,0.0387811710803864,1,0.000653294368682674
110,0.0304406463443646,1,0.000656932499456711
205,0.0408305256594858,1,0.000660666532582507
64,0.0385391648400032,1,0.000668306049609482
229,0.0350596780559722,1,0.000668938999501776
76,0.0362154912236257,1,0.000671124471276511
156,0.0379120596040437,1,0.000672460451978989
117,0.0477033468359179,1,0.000673029098215658
112,0.0362848303917366,1,0.000674165645750273
358,0.0483821847977901,1,0.000675784902601321
291,0.0399111299996448,1,0.00067975328176544
323,0.0465694427681395,1,0.00068223363750922
47,0.0357356056725344,1,0.000687621946706322
170,0.0370154653767629,1,0.000690786684678092
118,0.0380868659117113,1,0.000692323475786322
346,0.0357315480852466,1,0.00069464141565841
41,0.0393264553093956,1,0.000710781636183087
198,0.0412820190807705,1,0.000713530085136589
261,0.050369718771699,1,0.000714757999743577
237,0.0386483732494102,1,0.000715987875039163
306,0.0390161050878285,1,0.000719412171562093
322,0.0348371501195392,1,0.000726918948853847
67,0.0500386687717103,1,0.000732461712092871
188,0.0355606135811979,1,0.000747354138809361
349,0.0402883546548842,1,0.000748450784920547
200,0.03504501831682,1,0.000749204050655661
314,0.0462533866153046,1,0.000756945005581606
244,0.0371937448819396,1,0.000760808967690587
338,0.0381247672404298,1,0.000763141319607581
236,0.0396419590511133,1,0.000768203395407569
43,0.0364419674679547,1,0.000782486244435762
230,0.0402195940559416,1,0.000787859028952369
59,0.0348298641537059,1,0.000789500543631262
258,0.0422582468016358,1,0.000791233578049937
341,0.0546806518034123,1,0.000791563025507483
265,0.0472337989241491,1,0.000792447703295174
155,0.0365973382017216,1,0.000795472114819684
144,0.041893095496273,1,0.000797302603430231
90,0.038662621207393,1,0.00080219181276136
134,0.0405745770802805,1,0.000803378942454162
195,0.0399371265333558,1,0.00080478995410388
55,0.0354221052593041,1,0.000808369299147126
282,0.0453861981942633,1,0.00081272433461732
131,0.0380741420669078,1,0.000812915320143376
115,0.0512372256414576,1,0.000816759820552436
290,0.0406944128281599,1,0.000818082429587241
146,0.0483255474852763,1,0.000819309236841634
272,0.0461336767262196,1,0.000824883992162819
91,0.0429689734032342,1,0.000828318199769864
307,0.0364382675885158,1,0.000835216364180855
301,0.0446854217386578,1,0.000840655349041456
374,0.0397122300554208,1,0.000842110904583043
11,0.0480300911402458,1,0.000854641000006807
275,0.0507763155286432,1,0.00085789116909719
241,0.0409120253497178,1,0.000862478884109161
184,0.0372304170863288,1,0.000863083452093048
262,0.0514568902430334,1,0.000872125694497701
153,0.041709183245476,1,0.00088260750543354
145,0.0565882213653475,1,0.000884670700406207
299,0.0406277176243169,1,0.000885129745304391
225,0.0580026862574539,1,0.000888619060591607
300,0.0500979960983024,1,0.000892215850558186
123,0.0459161909928084,1,0.000902977198622145
36,0.0429792409466219,1,0.000910440174207063
204,0.036698110862404,1,0.000910495322739157
280,0.0475508034684463,1,0.000911464835053729
255,0.0432708532357304,1,0.000913806315466382
201,0.0473657324174784,1,0.000920750568570604
342,0.0346845245446797,1,0.000921332867144771
330,0.0521857825186934,1,0.000927452716185945
279,0.0405317678941556,1,0.000930194794008951
10,0.045226806125424,1,0.000931464842282478
2,0.0535687020021572,1,0.000942046541871204
38,0.0495711699565117,1,0.000946195451337145
303,0.0478965240273077,1,0.000949765112697722
114,0.04003517744214,1,0.000949836182630437
135,0.0358010586127558,1,0.00095472847799046
319,0.0509013721007038,1,0.000964350345347914
33,0.0523982357911921,1,0.000965307581139714
39,0.0438920250589425,1,0.000967672155171645
179,0.0497449097163028,1,0.000970929469165916
44,0.0418680258177926,1,0.000972738713454573
206,0.0379029921033149,1,0.000973870079373078
348,0.044337621451774,1,0.000975277828402033
289,0.0350961470909807,1,0.000977051456599569
4,0.05195551335847,1,0.000984806026454072
228,0.0407124052499351,1,0.000985307255948645
20,0.0493933164409691,1,0.00100176707252758
162,0.0398350785072188,1,0.00100217900035047
94,0.041514273303456,1,0.00100422676242859
164,0.0490232386362149,1,0.00100660568909639
334,0.0418848533893571,1,0.00101522228804814
60,0.0413149070088263,1,0.00102035454626513
22,0.0452128343521783,1,0.00102685537173485
23,0.0373347006157933,1,0.00102785173388579
157,0.0507056312828809,1,0.00104521390513569
175,0.044930921352337,1,0.0010464034674434
233,0.0494049691062558,1,0.00106461886385673
294,0.0414505554422736,1,0.0010769276013023
263,0.0410084432468996,1,0.00107850452307422
13,0.0443654088234934,1,0.00108699975056524
105,0.0415586657917767,1,0.00109140542703043
207,0.0476365702741987,1,0.00109196954934402
377,0.0349708943590243,1,0.00109262633087737
329,0.0459081518291401,1,0.00109328276196779
226,0.0401545281457345,1,0.00109496990814561
14,0.0395668758967785,1,0.00109820639255955
136,0.0377823157356717,1,0.0011007520491831
37,0.0456573032796011,1,0.00111871296884308
159,0.0500753663222115,1,0.00111907837119306
254,0.0399910650440317,1,0.00113134142240502
160,0.043255105644931,1,0.00113522076283791
148,0.0453593333456102,1,0.00113552960724279
286,0.0429087702570506,1,0.00113627211467116
221,0.0535341390004006,1,0.00115096381010363
3,0.0395046689844938,1,0.00117781122363959
149,0.0477420790142215,1,0.00117934399924867
87,0.0377938408194034,1,0.0011820794285627
285,0.0433341107344105,1,0.00118976648184982
106,0.0372265336704802,1,0.00120975745353236
15,0.0435085480998503,1,0.00121653594316715
86,0.0447604107031201,1,0.00121880619699555
264,0.0447591271420185,1,0.00123014521481676
379,0.0475576834533981,1,0.00123258940960236
